Timestamp,Which course are you enrolled in?,Awareness - Website,Awareness - Social Media,Awareness - Community Event,Awareness - Family or Friend,Awareness - Current Student,Awareness - Alumni,Awareness - High School Teacher,Awareness - High School Counselor,Awareness - In-app Ad,Awareness - Employer,Awareness - Billboard,Awareness - Television,Awareness - Radio,Awareness - Mail,Awareness - Other,Attendance - Affordable Cost,Attendance - Location/Convenience,Attendance - Choice of Programs,Attendance - Online Offerings,Attendance - Family or Friend Referral,Attendance - Faculty/Staff,Attendance - College Reputation,Attendance - Financial Aid,Attendance - Scholarships,Attendance - Small Class Sizes,Attendance - Extra-Curricular Opportunities,Attendance - Accepted My Transfer Credits,Attendance - Negative Experience at Another College,Attendance - NJ Stars Program,Attendance - Ability to Transfer CCM Credits to a 4-year School,Attendance - Get College Credit While in High School,Event Participation - Open House,Event Participation - Instant Decision Day,Event Participation - On-Campus Information Session,Event Participation - Virtual Information Session,Event Participation - Women Who Dare,Event Participation - Regional College Fair,Event Participation - HS Sharetime Information Session,Event Participation - Challenger Program,Event Participation - CyberSecurity Information Protection Program Participation,Event Participation - Information Session at My High School,Event Participation - Campus Visit with My High School,Event Participation - Campus Visit,Event Participation - Workforce Development Class,Event Participation - Corporate Training,Event Participation - Teen Arts Festival,Event Participation - Summer Camp at CCM,Event Participation - Hour of Code,Previous Experiences - Middle/High School Computing Class,Previous Experiences - Middle/High School Computing Club,Previous Experiences - Middle/High School Computing Competitions,Previous Experiences - Afterschool Computing-Related Program,Previous Experiences - Summer Computing Related Program,Previous Experiences - An AP Computing Class,Previous Experiences - A Dual Enrollment Computing Class,Previous Experiences - Family or Friend Influence,Previous Experiences - Family or Friend Working in the Computing Field,Previous Experiences - High School Teacher or Guidance Counselor,Previous Experiences - Employer influence,Previous Experiences - Current CCM Student,Previous Experiences - Experience at Work,Previous Experiences - Other,What degree program are you currently enrolled in?,Motivation - Job in Computing Field,Motivation - Transfer to Bachelor's Level Program,Motivation - Transfer Credits Back to HS Degree,Motivation - Career Advancement,Motivation - Career Change,Motivation - Professional Development,Motivation - Job Displacement,Motivation - Relocation,Motivation - Keep Current in Tech Industry,Motivation - IT Industry Certifications,Motivation - Financial,Motivation - Personal Enrichment,Computing Info Sources - High School Guidance Counselor,Computing Info Sources - High School Teacher,Computing Info Sources - CCM Information Technologies Website,Computing Info Sources - CCM Admissions,Computing Info Sources - CCM Advisor,Computing Info Sources - Employer,Computing Info Sources - CCM Workforce Development,Computing Info Sources - NJ Workforce Development Program,Computing Info Sources - Other,Computing Major Choice,Gender,Race/ethnicity,Age
2022/10/18 2:45:38 PM EST,CMP 131 Fundamentals of Programming (Python),Yes,Don't recall,No,Yes,Yes,No,Yes,Yes,Don't recall,No,Yes,Don't recall,Don't recall,Yes,Don't recall,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,Information Technology,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Engineering,Man,Hispanic or Latino;American Indian/Native American/Alaska Native;White/Caucasian;Multi-Racial,35-64
2022/10/18 2:48:21 PM EST,CMP 131 Fundamentals of Programming (Python),Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Some Impact,High Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,High Impact,Some Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,Some Impact,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Some Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,LIberal Arts,Woman,Hispanic or Latino,19-20
2022/10/18 3:03:43 PM EST,CMP 131 Fundamentals of Programming (Python),No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,First Choice,Man,Hispanic or Latino,18 and younger
2022/10/18 5:18:57 PM EST,CMP 130 Intro to IT,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Business,Man,White/Caucasian,18 and younger
2022/10/18 5:30:44 PM EST,CMP 131 Fundamentals of Programming (Python),No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Computer Science,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,First Choice,Woman,Asian,21-24
2022/10/18 5:43:26 PM EST,CMP 131 Fundamentals of Programming (Python),Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,First Choice,Man,White/Caucasian,21-24
2022/10/18 6:50:56 PM EST,CMP 131 Fundamentals of Programming (Python),No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,High Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,First Choice,Man,White/Caucasian,18 and younger
2022/10/19 4:16:19 PM EST,CMP 128 Computer Science I,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,High Impact,High Impact,,High Impact,,,,,,,,,,,,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,,High Impact,,,,,,,,,,,,Computer Science,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Engineering,Woman,Hispanic or Latino,35-64
2022/10/19 4:29:30 PM EST,CMP 131 Fundamentals of Programming (Python),Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,High Impact,High Impact,,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,,,High Impact,,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Data Analytics Certificate of Achievement,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Don't recall,No,Yes,No,No,No,No,No,No,Science,Woman,Hispanic or Latino;White/Caucasian,19-20
2022/10/19 4:56:34 PM EST,CMP 131 Fundamentals of Programming (Python),Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,High Impact,,,Some Impact,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,Information Technology,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Nursing,Woman,Hispanic or Latino,35-64
2022/10/19 6:44:08 PM EST,CMP 130 Intro to IT,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,No Impact,High Impact,High Impact,No Impact,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Computer Science,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,First Choice,Man,Hispanic or Latino,35-64
2022/10/19 6:48:23 PM EST,CMP 130 Intro to IT,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,Computer Science,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,First Choice,Man,Hispanic or Latino,35-64
2022/10/20 12:18:13 AM EST,CMP 128 Computer Science I,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Don't recall,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,First Choice,Man,White/Caucasian,18 and younger
2022/10/20 10:38:49 AM EST,CMP 131 Fundamentals of Programming (Python),No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Some Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,High Impact,High Impact,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,Information Technology,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Business,Man,Black/African American,18 and younger
2022/10/21 4:11:10 PM EST,CMP 130 Intro to IT,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Don't recall,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,Some Impact,Information Technology,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Don't recall,Don't recall,Yes,Yes,Yes,No,No,No,No,First Choice,Man,Hispanic or Latino;White/Caucasian,21-24
2022/10/21 4:19:00 PM EST,CMP 131 Fundamentals of Programming (Python),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Don't recall,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,No Impact,Information Technology,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,First Choice,Man,Hispanic or Latino;White/Caucasian,21-24
2022/10/24 11:25:45 AM EST,CMP 128 Computer Science I,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,,,,,,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,First Choice,Man,Asian,19-20
2022/10/25 2:00:22 PM EST,CMP 128 Computer Science I,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,High Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,"Technical Studies, Applied Associate of Science",No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,LIberal Arts,Man,White/Caucasian,25-34
2022/11/22 9:14:03 PM EST,CMP 128 Computer Science I,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,Not Sure,No,No,Not Sure,No,No,No,Yes,No,Yes,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Engineering,Man,Hispanic or Latino;White/Caucasian,21-24
